dataset,combo,n_models,acc,acc_std,eer,tar_far0.01,tar_far0.001
lfw,arc,1,0.997833,0.002587,0.0035,0.998,0.996667
lfw,mag,1,0.997833,0.002478,0.002667,0.997333,0.996
lfw,ada,1,0.998167,0.002291,0.001667,0.997,0.996667
lfw,arc+mag,2,0.997833,0.002242,0.002333,0.997333,0.996667
lfw,arc+ada,2,0.998167,0.002291,0.004,0.997333,0.996667
lfw,mag+ada,2,0.998167,0.002291,0.004167,0.997,0.996667
lfw,arc+mag+ada,3,0.998167,0.002291,0.004167,0.997333,0.996667
sllfw,arc,1,0.979728,0.003928,0.034009,0.963149,0.960804
sllfw,mag,1,0.977215,0.004253,0.035182,0.962479,0.957454
sllfw,ada,1,0.981069,0.002708,0.026804,0.963484,0.962814
sllfw,arc+mag,2,0.980398,0.003825,0.037862,0.963149,0.960804
sllfw,arc+ada,2,0.980734,0.003534,0.029485,0.963484,0.962814
sllfw,mag+ada,2,0.979896,0.00318,0.032668,0.963149,0.961809
sllfw,arc+mag+ada,3,0.981069,0.003184,0.026804,0.963149,0.963149
cplfw,arc,1,0.944333,0.01106,0.0825,0.898333,0.869667
cplfw,mag,1,0.919,0.014205,0.107167,0.848667,0.766333
cplfw,ada,1,0.931667,0.013723,0.096,0.876667,0.853
cplfw,arc+mag,2,0.9375,0.012411,0.090167,0.884,0.830333
cplfw,arc+ada,2,0.942167,0.012384,0.086833,0.895667,0.875
cplfw,mag+ada,2,0.9275,0.012786,0.097333,0.87,0.837667
cplfw,arc+mag+ada,3,0.936167,0.011206,0.090167,0.886,0.853
xqlfw,arc,1,0.904167,0.027368,0.083,0.798333,0.696333
xqlfw,mag,1,0.7565,0.08702,0.2005,0.528667,0.343667
xqlfw,ada,1,0.849667,0.063034,0.146667,0.668667,0.535667
xqlfw,arc+mag,2,0.856833,0.045883,0.119833,0.706,0.573
xqlfw,arc+ada,2,0.893667,0.037674,0.101667,0.77,0.627
xqlfw,mag+ada,2,0.838833,0.068248,0.1635,0.612333,0.476667
xqlfw,arc+mag+ada,3,0.875333,0.044006,0.121,0.711,0.578333
calfw,arc,1,0.9605,0.011231,0.058833,0.930333,0.923333
calfw,mag,1,0.9605,0.011548,0.059833,0.93,0.919
calfw,ada,1,0.961167,0.011692,0.057167,0.932,0.92
calfw,arc+mag,2,0.96,0.01169,0.0565,0.932667,0.921333
calfw,arc+ada,2,0.961167,0.011206,0.056833,0.931333,0.922333
calfw,mag+ada,2,0.962333,0.01121,0.056667,0.930333,0.920667
calfw,arc+mag+ada,3,0.960833,0.010961,0.056,0.932,0.921667
cfp_fp,arc,1,0.973714,0.010482,0.041714,0.955143,0.948571
cfp_fp,mag,1,0.957714,0.011904,0.057857,0.927143,0.907429
cfp_fp,ada,1,0.967571,0.010163,0.048857,0.944286,0.927714
cfp_fp,arc+mag,2,0.970714,0.010903,0.046286,0.950571,0.941714
cfp_fp,arc+ada,2,0.972714,0.010231,0.043857,0.952857,0.943429
cfp_fp,mag+ada,2,0.965429,0.011549,0.048429,0.940286,0.924571
cfp_fp,arc+mag+ada,3,0.970857,0.011432,0.045429,0.95,0.940286
