dataset,dropped,acc_without,acc_full,diff,discordant_without_wins,discordant_full_wins,p_mcnemar,t_nb,p_nb
lfw,arcface,0.998167,0.998167,0.0,1,1,1.0,0.0,1.0
lfw,magface,0.998167,0.998167,0.0,0,0,1.0,0.0,1.0
lfw,adaface,0.997833,0.998167,-0.000333,0,2,0.5,-1.032,0.32884164581809155
sllfw,arcface,0.979896,0.981069,-0.001173,0,7,0.015625,-2.257,0.050384290813456585
sllfw,magface,0.980734,0.981069,-0.000335,1,3,0.625,-0.688,0.508646491596352
sllfw,adaface,0.980399,0.981069,-0.00067,1,5,0.21875,-1.245,0.24445899653167433
cplfw,arcface,0.9275,0.936167,-0.008667,8,60,5.7477609314866146e-11,-4.257,0.0021193660385580653
cplfw,magface,0.942167,0.936167,0.006,48,12,3.183628737933597e-06,4.411,0.0016938331234725883
cplfw,adaface,0.9375,0.936167,0.001333,29,21,0.3222363203575469,0.688,0.5086464915963431
xqlfw,arcface,0.838833,0.875333,-0.0365,49,268,1.0688310116408947e-37,-2.772,0.021681965607330007
xqlfw,magface,0.893667,0.875333,0.018333,187,77,9.899635729926163e-12,5.13,0.0006194489907728679
xqlfw,adaface,0.856833,0.875333,-0.0185,67,178,8.508593342454961e-13,-1.483,0.17226875395428026
calfw,arcface,0.962333,0.960833,0.0015,13,4,0.049041748046875,2.237,0.052090135898703406
calfw,magface,0.961167,0.960833,0.000333,13,11,0.8388197422027588,0.474,0.6470046758624722
calfw,adaface,0.96,0.960833,-0.000833,5,10,0.30175781249999994,-1.12,0.2918065272373814
cfp_fp,arcface,0.965429,0.970857,-0.005429,5,43,1.3680484300948594e-08,-4.414,0.001686444258377512
cfp_fp,magface,0.972714,0.970857,0.001857,20,7,0.0191572904586792,1.0,0.34360371812883295
cfp_fp,adaface,0.970714,0.970857,-0.000143,14,15,1.0,-0.159,0.8773126316598097
