dataset,n_images,fused_effective_rank,fused_participation_ratio,fused_k95,fused_k99,fused_dim,erank_arcface,erank_magface,erank_adaface,n_pairs,err_arcface,err_magface,err_adaface,err_shared,shared_frac,shared_false_rejects,shared_false_accepts,acc_arcface,acc_magface,acc_adaface,acc_best_single,acc_concat,acc_scoremean,fusion_gain,acc_majority_vote,acc_oracle
calfw,12000,429.6,296.7,525,838,1536,325.5,195.9,332.5,6000.0,235.0,235.0,229.0,214.0,0.9185,208.0,6.0,0.9605,0.9605,0.961167,0.961167,0.960833,0.960833,-0.000333,0.9625,0.964333
calfw_ctrl,12000,353.5,250.6,416,693,1536,210.2,195.9,332.5,6000.0,237.0,235.0,229.0,212.0,0.9073,205.0,7.0,0.96,0.9605,0.961167,0.961167,0.960667,0.960667,-0.0005,0.961667,0.964667
cfp_fp,14000,409.0,264.3,546,841,1536,294.0,184.1,300.8,7000.0,179.0,286.0,227.0,162.0,0.7023,161.0,1.0,0.973714,0.957714,0.967571,0.973714,0.970857,0.970857,-0.002857,0.970714,0.976857
cfp_fp_ctrl,14000,344.6,228.0,455,710,1536,195.3,184.1,300.8,7000.0,269.0,286.0,227.0,188.0,0.7212,185.0,3.0,0.961,0.957714,0.967571,0.967571,0.965,0.965,-0.002571,0.965286,0.973143
cplfw,12000,471.2,314.7,607,882,1536,329.7,194.5,330.1,6000.0,334.0,481.0,399.0,303.0,0.7488,300.0,3.0,0.944333,0.919,0.931667,0.944333,0.936167,0.936167,-0.008167,0.935167,0.9495
cplfw_ctrl,12000,387.5,262.1,502,743,1536,208.8,194.5,330.1,6000.0,438.0,481.0,399.0,330.0,0.7511,327.0,3.0,0.927,0.919,0.931667,0.931667,0.929333,0.929333,-0.002333,0.929167,0.945
lfw_ctrl,12000,357.3,252.9,423,700,1536,210.2,196.2,332.1,6000.0,11.0,12.0,10.0,10.0,0.9091,10.0,0.0,0.997833,0.997833,0.998167,0.998167,0.998167,0.998167,0.0,0.998333,0.998333
sllfw,6073,424.0,291.0,522,837,1536,321.1,194.3,327.0,5969.0,117.0,128.0,112.0,110.0,0.9244,110.0,0.0,0.979728,0.977215,0.981069,0.981069,0.981069,0.981069,0.0,0.981069,0.981571
sllfw_ctrl,6073,350.9,246.7,419,696,1536,208.1,194.3,327.0,5969.0,117.0,128.0,112.0,111.0,0.9328,110.0,1.0,0.980231,0.977215,0.981069,0.981069,0.980901,0.980901,-0.000168,0.980734,0.981404
tinyface,28171,329.2,103.0,666,911,1536,167.4,107.3,149.2,,,,,,,,,,,,,,,,,
tinyface_full,161599,302.4,93.6,648,904,1536,149.3,101.7,136.1,,,,,,,,,,,,,,,,,
xqlfw,12000,437.9,240.1,611,880,1536,311.8,174.0,296.1,6000.0,484.0,1155.0,821.0,294.0,0.3585,254.0,40.0,0.904167,0.7565,0.849667,0.904167,0.875333,0.875333,-0.028833,0.881333,0.951
xqlfw_ctrl,12000,347.5,176.4,505,740,1536,184.3,174.0,296.1,6000.0,980.0,1155.0,821.0,483.0,0.4902,405.0,78.0,0.808833,0.7565,0.849667,0.849667,0.817,0.817,-0.032667,0.847333,0.9195
lfw,7701,436.7,301.5,536,849,1536,327.4,196.6,333.4,5958.0,112.0,114.0,111.0,111.0,0.9881,111.0,0.0,0.980865,0.980698,0.981034,0.981034,0.980698,0.980698,-0.000336,0.981202,0.98137
