criterion,ratio,epochs,n_train,params_m,macs_g,dataset,config,acc,acc_std,eer,tar_far0.01,tar_far0.001
l1,0.1,1,490623,53.77,9.77,lfw,magface,0.996333,0.002867,0.003,0.997,0.995333
l1,0.1,1,490623,53.77,9.77,lfw,fused,0.998167,0.002291,0.002667,0.997667,0.996667
l1,0.1,1,490623,53.77,9.77,xqlfw,magface,0.7645,0.080619,0.228333,0.398333,0.176667
l1,0.1,1,490623,53.77,9.77,xqlfw,fused,0.8715,0.039225,0.1295,0.681333,0.530333
l1,0.3,1,490623,34.55,5.9,lfw,magface,0.996333,0.002333,0.004167,0.996667,0.994
l1,0.3,1,490623,34.55,5.9,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
l1,0.3,1,490623,34.55,5.9,xqlfw,magface,0.734667,0.073703,0.224,0.450333,0.139
l1,0.3,1,490623,34.55,5.9,xqlfw,fused,0.865,0.048368,0.127333,0.693667,0.505667
l1,0.5,1,490623,19.52,3.05,lfw,magface,0.510167,0.013069,0.465,0.001667,0.001667
l1,0.5,1,490623,19.52,3.05,lfw,fused,0.9845,0.006012,0.022667,0.97,0.969333
l1,0.5,1,490623,19.52,3.05,xqlfw,magface,0.502,0.454711,0.4605,0.000667,0.0
l1,0.5,1,490623,19.52,3.05,xqlfw,fused,0.891,0.047283,0.117,0.745667,0.609
