criterion,ratio,params_m,macs_g,dataset,config,acc,acc_std,eer,tar_far0.01,tar_far0.001
none,0.0,65.16,12.12,lfw,magface,0.997833,0.002478,0.002667,0.997333,0.996
none,0.0,65.16,12.12,lfw,fused,0.998167,0.002291,0.004167,0.997333,0.996667
none,0.0,65.16,12.12,xqlfw,magface,0.7565,0.08702,0.2005,0.528667,0.343667
none,0.0,65.16,12.12,xqlfw,fused,0.875333,0.044006,0.121,0.711,0.578333
l1,0.1,53.77,9.77,lfw,magface,0.993167,0.00263,0.007333,0.994333,0.977667
l1,0.1,53.77,9.77,lfw,fused,0.997667,0.002494,0.002667,0.997333,0.997
l1,0.1,53.77,9.77,xqlfw,magface,0.4565,0.0395,0.401833,0.028,0.007667
l1,0.1,53.77,9.77,xqlfw,fused,0.811,0.046309,0.178,0.539667,0.376667
l1,0.2,43.53,7.71,lfw,magface,0.8905,0.014702,0.1065,0.655,0.416333
l1,0.2,43.53,7.71,lfw,fused,0.998167,0.002291,0.0035,0.997667,0.996667
l1,0.2,43.53,7.71,xqlfw,magface,0.002833,0.002986,0.5265,0.005333,0.000667
l1,0.2,43.53,7.71,xqlfw,fused,0.832333,0.059316,0.1475,0.662667,0.518667
l1,0.3,34.55,5.9,lfw,magface,0.653167,0.018173,0.351333,0.102,0.047667
l1,0.3,34.55,5.9,lfw,fused,0.998333,0.002357,0.003667,0.997333,0.996667
l1,0.3,34.55,5.9,xqlfw,magface,0.405667,0.405803,0.566333,0.003,0.000667
l1,0.3,34.55,5.9,xqlfw,fused,0.898167,0.03138,0.103,0.764,0.622333
l1,0.4,26.42,4.33,lfw,magface,0.5,0.0,0.388,0.089667,0.028
l1,0.4,26.42,4.33,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
l1,0.4,26.42,4.33,xqlfw,magface,0.5,0.5,0.537,0.003667,0.001
l1,0.4,26.42,4.33,xqlfw,fused,0.9075,0.030544,0.101833,0.769333,0.626667
l1,0.5,19.52,3.05,lfw,magface,0.5,0.0,0.371333,0.077,0.032333
l1,0.5,19.52,3.05,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
l1,0.5,19.52,3.05,xqlfw,magface,0.5,0.5,0.566667,0.003667,0.001
l1,0.5,19.52,3.05,xqlfw,fused,0.907667,0.029993,0.101667,0.769333,0.626667
l1,0.7,8.48,1.08,lfw,magface,0.5,0.0,0.444333,0.000667,0.000667
l1,0.7,8.48,1.08,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
l1,0.7,8.48,1.08,xqlfw,magface,0.5,0.5,0.5485,0.001,0.0
l1,0.7,8.48,1.08,xqlfw,fused,0.9035,0.033069,0.101667,0.77,0.627
bnscale,0.1,53.77,9.77,lfw,magface,0.756333,0.016462,0.249333,0.308333,0.142333
bnscale,0.1,53.77,9.77,lfw,fused,0.998167,0.002734,0.003,0.997333,0.996333
bnscale,0.1,53.77,9.77,xqlfw,magface,0.043167,0.044444,0.505833,0.002333,0.0
bnscale,0.1,53.77,9.77,xqlfw,fused,0.8585,0.041119,0.129,0.682333,0.541667
bnscale,0.2,43.53,7.71,lfw,magface,0.623,0.014716,0.377333,0.099667,0.039667
bnscale,0.2,43.53,7.71,lfw,fused,0.998167,0.002291,0.003333,0.997,0.996667
bnscale,0.2,43.53,7.71,xqlfw,magface,0.003333,0.006455,0.4915,0.011,0.001333
bnscale,0.2,43.53,7.71,xqlfw,fused,0.886333,0.043486,0.105667,0.763667,0.615333
bnscale,0.3,34.55,5.9,lfw,magface,0.630833,0.021111,0.371333,0.106333,0.050333
bnscale,0.3,34.55,5.9,lfw,fused,0.998333,0.002357,0.001667,0.997667,0.996667
bnscale,0.3,34.55,5.9,xqlfw,magface,0.203833,0.031199,0.450667,0.034,0.008
bnscale,0.3,34.55,5.9,xqlfw,fused,0.889167,0.037329,0.103667,0.761333,0.634667
bnscale,0.4,26.42,4.33,lfw,magface,0.6125,0.012872,0.392833,0.095667,0.036
bnscale,0.4,26.42,4.33,lfw,fused,0.998,0.002333,0.004167,0.998,0.996667
