model,criterion,ratio,params_m,macs_g,dataset,config,acc,acc_std,eer,tar_far0.01,tar_far0.001
adaface,none,0.0,65.15,12.11,lfw,adaface,0.998167,0.002291,0.001667,0.997,0.996667
adaface,none,0.0,65.15,12.11,lfw,fused,0.998167,0.002291,0.004167,0.997333,0.996667
adaface,none,0.0,65.15,12.11,xqlfw,adaface,0.849667,0.063034,0.146667,0.668667,0.535667
adaface,none,0.0,65.15,12.11,xqlfw,fused,0.875333,0.044006,0.121,0.711,0.578333
adaface,l1,0.1,53.77,9.77,lfw,adaface,0.738167,0.012482,0.268833,0.263333,0.15
adaface,l1,0.1,53.77,9.77,lfw,fused,0.997333,0.002603,0.002,0.997667,0.997
adaface,l1,0.1,53.77,9.77,xqlfw,adaface,0.0585,0.041119,0.482333,0.014,0.005
adaface,l1,0.1,53.77,9.77,xqlfw,fused,0.797833,0.058642,0.155667,0.645,0.475
adaface,l1,0.2,43.53,7.71,lfw,adaface,0.683,0.0216,0.320333,0.193667,0.084667
adaface,l1,0.2,43.53,7.71,lfw,fused,0.998,0.002211,0.002,0.997667,0.997
adaface,l1,0.2,43.53,7.71,xqlfw,adaface,0.005333,0.012732,0.510667,0.004333,0.001667
adaface,l1,0.2,43.53,7.71,xqlfw,fused,0.832667,0.034882,0.128333,0.691,0.532
adaface,l1,0.3,34.55,5.9,lfw,adaface,0.597667,0.015242,0.3135,0.189667,0.099333
adaface,l1,0.3,34.55,5.9,lfw,fused,0.997833,0.002242,0.002167,0.997333,0.996667
adaface,l1,0.3,34.55,5.9,xqlfw,adaface,0.0095,0.007855,0.521167,0.003333,0.000667
adaface,l1,0.3,34.55,5.9,xqlfw,fused,0.856167,0.05324,0.121333,0.702333,0.568
adaface,l1,0.4,26.41,4.33,lfw,adaface,0.5,0.0,0.333833,0.169,0.079
adaface,l1,0.4,26.41,4.33,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,l1,0.4,26.41,4.33,xqlfw,adaface,0.5,0.5,0.539333,0.004333,0.001667
adaface,l1,0.4,26.41,4.33,xqlfw,fused,0.848833,0.044722,0.120667,0.705667,0.572333
adaface,l1,0.5,19.52,3.05,lfw,adaface,0.5,0.0,0.356,0.112333,0.040667
adaface,l1,0.5,19.52,3.05,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,l1,0.5,19.52,3.05,xqlfw,adaface,0.5,0.5,0.547833,0.004333,0.000667
adaface,l1,0.5,19.52,3.05,xqlfw,fused,0.848,0.04522,0.120833,0.706,0.572667
adaface,l1,0.7,8.48,1.08,lfw,adaface,0.5,0.0,0.359667,0.052333,0.011333
adaface,l1,0.7,8.48,1.08,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,l1,0.7,8.48,1.08,xqlfw,adaface,0.5,0.5,0.557333,0.0,0.0
adaface,l1,0.7,8.48,1.08,xqlfw,fused,0.846333,0.046784,0.119833,0.706,0.573
adaface,bnscale,0.1,53.77,9.77,lfw,adaface,0.615167,0.014481,0.384,0.067667,0.026
adaface,bnscale,0.1,53.77,9.77,lfw,fused,0.997167,0.002242,0.002333,0.997,0.996333
adaface,bnscale,0.1,53.77,9.77,xqlfw,adaface,0.011833,0.013893,0.5385,0.004333,0.001
adaface,bnscale,0.1,53.77,9.77,xqlfw,fused,0.768167,0.024927,0.1945,0.525,0.403
adaface,bnscale,0.2,43.53,7.71,lfw,adaface,0.582833,0.013704,0.421667,0.045333,0.013
adaface,bnscale,0.2,43.53,7.71,lfw,fused,0.996667,0.002582,0.002667,0.997,0.996333
adaface,bnscale,0.2,43.53,7.71,xqlfw,adaface,0.0135,0.014652,0.504833,0.005333,0.000667
adaface,bnscale,0.2,43.53,7.71,xqlfw,fused,0.838167,0.058786,0.145833,0.652667,0.488333
adaface,bnscale,0.3,34.55,5.9,lfw,adaface,0.589167,0.019123,0.411667,0.072333,0.017
adaface,bnscale,0.3,34.55,5.9,lfw,fused,0.998,0.002211,0.002833,0.997667,0.996667
adaface,bnscale,0.3,34.55,5.9,xqlfw,adaface,0.003167,0.004969,0.514,0.003333,0.000333
adaface,bnscale,0.3,34.55,5.9,xqlfw,fused,0.804,0.083975,0.1835,0.606333,0.515
adaface,bnscale,0.4,26.41,4.33,lfw,adaface,0.568667,0.017761,0.410333,0.046,0.019333
adaface,bnscale,0.4,26.41,4.33,lfw,fused,0.998167,0.002291,0.002333,0.997333,0.996667
adaface,bnscale,0.4,26.41,4.33,xqlfw,adaface,0.0105,0.004776,0.5585,0.003333,0.000333
adaface,bnscale,0.4,26.41,4.33,xqlfw,fused,0.8265,0.054805,0.138167,0.659333,0.552333
adaface,bnscale,0.5,19.52,3.05,lfw,adaface,0.585333,0.022221,0.417667,0.055333,0.008
adaface,bnscale,0.5,19.52,3.05,lfw,fused,0.998167,0.002291,0.0025,0.997333,0.996667
adaface,bnscale,0.5,19.52,3.05,xqlfw,adaface,0.092,0.089703,0.513667,0.006333,0.002333
adaface,bnscale,0.5,19.52,3.05,xqlfw,fused,0.859167,0.034691,0.122333,0.701333,0.568
adaface,bnscale,0.7,8.48,1.08,lfw,adaface,0.5,0.0,0.378333,0.063333,0.025667
adaface,bnscale,0.7,8.48,1.08,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,bnscale,0.7,8.48,1.08,xqlfw,adaface,0.5,0.5,0.423333,0.024333,0.007667
