dataset,config,acc_fp32net,acc_int8net,diff,discordant_fp32_wins,discordant_int8_wins,p_mcnemar,t_nb,p_nb
lfw,arcface,0.997833,0.998333,-0.0005,0,3,0.25,-1.352,0.2094650005509721
lfw,fused,0.998167,0.998167,0.0,1,1,1.0,0.0,1.0
sllfw,arcface,0.979729,0.979896,-0.000168,2,3,1.0,-0.384,0.7099961600277538
sllfw,fused,0.981069,0.980566,0.000503,3,0,0.25,1.352,0.20946518638171094
cplfw,arcface,0.944333,0.941833,0.0025,19,4,0.002599477767944336,2.277,0.04879793444449064
cplfw,fused,0.936167,0.9355,0.000667,8,4,0.3876953125,1.245,0.24454208017967136
xqlfw,arcface,0.904167,0.890833,0.013333,164,84,4.2187005991217016e-07,2.176,0.05750811835263801
xqlfw,fused,0.875333,0.8585,0.016833,123,22,3.205794045474075e-18,2.439,0.03741001514859518
calfw,arcface,0.9605,0.959,0.0015,20,11,0.14961278438568115,1.78,0.10879383087175602
calfw,fused,0.960833,0.962833,-0.002,1,13,0.0018310546875,-3.311,0.009070132685005467
cfp_fp,arcface,0.973714,0.973429,0.000286,9,7,0.803619384765625,0.311,0.7626834295590905
cfp_fp,fused,0.970857,0.969429,0.001429,13,3,0.021270751953125,1.885,0.09209165467712965
