dataset,A,B,acc_A,acc_B,diff,discordant_A_wins,discordant_B_wins,p_mcnemar,t_nb,p_nb
lfw_ctrl,int8-1536,fp32-1536,0.998167,0.998167,0.0,0,0,1.0,0.0,1.0
lfw_ctrl,binary-1536,fp32-1536,0.998167,0.998167,0.0,0,0,1.0,0.0,1.0
lfw_ctrl,itq256-binary,fp32-1536,0.997167,0.998167,-0.001,1,7,0.0703125,-1.868,0.0946557058284371
lfw_ctrl,itq128-binary,fp32-1536,0.995167,0.998167,-0.003,1,19,4.00543212890625e-05,-2.323,0.045275230835069465
lfw_ctrl,itq128-binary,pca128-binary,0.995167,0.994333,0.000833,21,16,0.5113757815852296,0.634,0.5417445830717591
lfw_ctrl,itq256-binary,pca256-binary,0.997167,0.995,0.002167,20,7,0.0191572904586792,2.115,0.06350855995314479
lfw_ctrl,arcface,magface,0.997833,0.997833,0.0,3,3,1.0,0.0,0.999999999999988
lfw_ctrl,arcface,adaface,0.997833,0.998167,-0.000333,0,2,0.5,-1.032,0.32884164581809155
lfw_ctrl,adaface,magface,0.998167,0.997833,0.000333,3,1,0.625,0.688,0.5086464915963521
sllfw_ctrl,int8-1536,fp32-1536,0.980901,0.980901,0.0,0,0,1.0,0.0,1.0
sllfw_ctrl,binary-1536,fp32-1536,0.980399,0.980901,-0.000503,1,4,0.375,-0.792,0.4485306330904846
sllfw_ctrl,itq256-binary,fp32-1536,0.977886,0.980901,-0.003016,3,21,0.0002771615982055664,-2.974,0.01558974096228135
sllfw_ctrl,itq128-binary,fp32-1536,0.973865,0.980901,-0.007036,1,43,5.115907697472721e-12,-6.538,0.00010661288855233504
sllfw_ctrl,itq128-binary,pca128-binary,0.973865,0.970012,0.003853,55,32,0.017827552929735955,1.327,0.21715285723214606
sllfw_ctrl,itq256-binary,pca256-binary,0.977886,0.97621,0.001675,23,13,0.13249816396273675,0.873,0.40555609666167003
sllfw_ctrl,arcface,magface,0.980231,0.977216,0.003016,20,2,0.00012111663818359375,2.976,0.015549328323113258
sllfw_ctrl,arcface,adaface,0.980231,0.981069,-0.000838,2,7,0.1796875,-1.281,0.2322955533299187
sllfw_ctrl,adaface,magface,0.981069,0.977216,0.003853,25,2,5.647540092468262e-06,3.53,0.006414781238973828
cplfw_ctrl,int8-1536,fp32-1536,0.928833,0.929333,-0.0005,4,7,0.548828125,-1.352,0.2094650005509722
cplfw_ctrl,binary-1536,fp32-1536,0.925833,0.929333,-0.0035,24,45,0.015432297453701269,-1.628,0.1378804750967863
cplfw_ctrl,itq256-binary,fp32-1536,0.922833,0.929333,-0.0065,48,87,0.0009994843752152345,-2.418,0.038734562323588705
cplfw_ctrl,itq128-binary,fp32-1536,0.907667,0.929333,-0.021667,40,170,2.8275097194707317e-20,-5.885,0.00023325262634494467
cplfw_ctrl,itq128-binary,pca128-binary,0.907667,0.903667,0.004,182,158,0.21220716743128126,1.024,0.3327827167281463
cplfw_ctrl,itq256-binary,pca256-binary,0.922833,0.907,0.015833,178,83,4.039868345928908e-09,5.233,0.0005397634162029248
cplfw_ctrl,arcface,magface,0.927,0.919,0.008,110,62,0.00031232956550282135,2.615,0.028023835004896944
cplfw_ctrl,arcface,adaface,0.927,0.931667,-0.004667,62,90,0.028192841817642884,-1.606,0.14275619048457613
cplfw_ctrl,adaface,magface,0.931667,0.919,0.012667,117,41,1.160472929137327e-09,3.559,0.006128620072752197
xqlfw_ctrl,int8-1536,fp32-1536,0.8195,0.817,0.0025,21,6,0.005924612283706665,0.721,0.4891907110910061
xqlfw_ctrl,binary-1536,fp32-1536,0.808333,0.817,-0.008667,158,210,0.0077623358420073766,-1.522,0.1623251924739344
xqlfw_ctrl,itq256-binary,fp32-1536,0.798667,0.817,-0.018333,295,405,3.663840359238511e-05,-0.642,0.5370162883833185
xqlfw_ctrl,itq128-binary,fp32-1536,0.754,0.817,-0.063,233,611,7.834220168225903e-40,-2.836,0.01951826926304426
xqlfw_ctrl,itq128-binary,pca128-binary,0.754,0.762,-0.008,531,579,0.1583005437801205,-0.88,0.40196339867647113
xqlfw_ctrl,itq256-binary,pca256-binary,0.798667,0.786667,0.012,492,420,0.018671797085764035,0.827,0.4297715138237942
xqlfw_ctrl,arcface,magface,0.808833,0.7565,0.052333,570,256,2.8287481142594776e-28,2.537,0.03188604200614341
xqlfw_ctrl,arcface,adaface,0.808833,0.849667,-0.040833,247,492,1.3097577169205455e-19,-3.377,0.008171706234627237
xqlfw_ctrl,adaface,magface,0.849667,0.7565,0.093167,747,188,1.8725780621834806e-79,6.351,0.00013274697465660403
calfw_ctrl,int8-1536,fp32-1536,0.960667,0.960667,0.0,0,0,1.0,0.0,1.0
calfw_ctrl,binary-1536,fp32-1536,0.960667,0.960667,0.0,7,7,1.0,-0.0,0.9999999999999925
