dataset,A,B,acc_A,acc_B,diff,discordant_A_wins,discordant_B_wins,p_mcnemar,t_nb,p_nb
lfw,int8-1536,fp32-1536,0.980698,0.980698,0.0,0,0,1.0,0.0,1.0
lfw,binary-1536,fp32-1536,0.980866,0.980698,0.000168,2,1,1.0,0.383,0.710949287257457
lfw,itq256-binary,fp32-1536,0.981202,0.980698,0.000504,5,2,0.453125,0.793,0.4481280301191315
lfw,itq128-binary,fp32-1536,0.978684,0.980698,-0.002014,4,16,0.01181793212890625,-1.984,0.07851753933386164
lfw,itq128-binary,pca128-binary,0.978684,0.974656,0.004028,37,13,0.000936222910851825,2.753,0.022355473179533288
lfw,itq256-binary,pca256-binary,0.981202,0.978181,0.003021,20,2,0.00012111663818359375,2.237,0.05209013589870123
lfw,arcface,magface,0.980866,0.980698,0.000168,2,1,1.0,0.383,0.7103134026226492
lfw,arcface,adaface,0.980866,0.981034,-0.000168,2,3,1.0,-0.249,0.8090035199357047
lfw,adaface,magface,0.981034,0.980698,0.000336,4,2,0.6875,0.422,0.6830965006059754
sllfw,int8-1536,fp32-1536,0.981236,0.981069,0.000168,1,0,1.0,0.688,0.5086464915963445
sllfw,binary-1536,fp32-1536,0.980064,0.981069,-0.001005,0,6,0.03125,-1.868,0.09461997652621962
sllfw,itq256-binary,fp32-1536,0.977718,0.981069,-0.003351,1,21,1.0967254638671875e-05,-2.561,0.03061789095619475
sllfw,itq128-binary,fp32-1536,0.975875,0.981069,-0.005193,2,33,3.6729034036397934e-08,-4.425,0.001658466826679879
sllfw,itq128-binary,pca128-binary,0.975875,0.972022,0.003853,41,18,0.0037937056353716074,1.637,0.13604983995708353
sllfw,itq256-binary,pca256-binary,0.977718,0.974033,0.003686,36,14,0.0026021714567221466,2.227,0.05291354579504226
sllfw,arcface,magface,0.979729,0.977216,0.002513,20,5,0.004077315330505371,3.842,0.00395186692717626
sllfw,arcface,adaface,0.979729,0.981069,-0.00134,1,9,0.021484375,-1.686,0.12610340962540348
sllfw,adaface,magface,0.981069,0.977216,0.003853,25,2,5.647540092468262e-06,3.53,0.006414781238973828
cplfw,int8-1536,fp32-1536,0.9365,0.936167,0.000333,2,0,0.5,0.688,0.5086464915963445
cplfw,binary-1536,fp32-1536,0.934167,0.936167,-0.002,25,37,0.16188140552559763,-0.967,0.3586313643065162
cplfw,itq256-binary,fp32-1536,0.927833,0.936167,-0.008333,34,84,4.724470570017391e-06,-2.433,0.037776206131082124
cplfw,itq128-binary,fp32-1536,0.9145,0.936167,-0.021667,35,165,2.2139771125184135e-21,-6.977,6.486480578206775e-05
cplfw,itq128-binary,pca128-binary,0.9145,0.902333,0.012167,215,142,0.00013191744972530515,1.962,0.08136654091905192
cplfw,itq256-binary,pca256-binary,0.927833,0.9195,0.008333,134,84,0.0008633647470830904,2.181,0.05705522858324949
cplfw,arcface,magface,0.944333,0.919,0.025333,172,20,2.4604497446499028e-31,6.955,6.644878236434933e-05
cplfw,arcface,adaface,0.944333,0.931667,0.012667,95,19,2.421352244602046e-13,5.162,0.0005932575285112105
cplfw,adaface,magface,0.931667,0.919,0.012667,117,41,1.160472929137327e-09,3.559,0.006128620072752197
xqlfw,int8-1536,fp32-1536,0.870333,0.875333,-0.005,2,32,6.938353180885315e-08,-0.898,0.39267203903679393
xqlfw,binary-1536,fp32-1536,0.872333,0.875333,-0.003,136,154,0.31814743585292227,-0.245,0.8122086897358325
xqlfw,itq256-binary,fp32-1536,0.819,0.875333,-0.056333,152,490,2.341529297305092e-42,-4.121,0.0025933164386832104
xqlfw,itq128-binary,fp32-1536,0.8265,0.875333,-0.048833,188,481,1.6491133597751767e-30,-2.376,0.04148807332782997
xqlfw,itq128-binary,pca128-binary,0.8265,0.8075,0.019,502,388,0.00014912020635089498,2.026,0.07346263846608385
xqlfw,itq256-binary,pca256-binary,0.819,0.809333,0.009667,486,428,0.059317596608199366,0.996,0.3452622467917803
xqlfw,arcface,magface,0.904167,0.7565,0.147667,1011,125,9.08289537021783e-173,4.806,0.00096597821305573
xqlfw,arcface,adaface,0.904167,0.849667,0.0545,496,169,3.5538598610274316e-38,2.903,0.017516541895271368
xqlfw,adaface,magface,0.849667,0.7565,0.093167,747,188,1.8725780621834806e-79,6.351,0.00013274697465660403
calfw,int8-1536,fp32-1536,0.960833,0.960833,0.0,0,0,1.0,0.0,1.0
calfw,binary-1536,fp32-1536,0.9615,0.960833,0.000667,17,13,0.5846647117286922,0.508,0.6234643665645565
calfw,itq256-binary,fp32-1536,0.957333,0.960833,-0.0035,18,39,0.0075081755341502,-2.467,0.03576689505892788
calfw,itq128-binary,fp32-1536,0.950333,0.960833,-0.0105,24,87,1.4180922486418413e-09,-5.811,0.0002557685917321849
calfw,itq128-binary,pca128-binary,0.950333,0.946167,0.004167,84,59,0.044372934512208556,2.134,0.06160307363506203
calfw,itq256-binary,pca256-binary,0.957333,0.953,0.004333,56,30,0.0066739231422248664,1.785,0.10783877824443941
calfw,arcface,magface,0.9605,0.9605,0.0,18,18,1.0,-0.0,0.9999999999999831
calfw,arcface,adaface,0.9605,0.961167,-0.000667,15,19,0.6075913612730801,-0.49,0.6358025572289572
calfw,adaface,magface,0.961167,0.9605,0.000667,19,15,0.6075913612730801,0.421,0.6833041476685917
cfp_fp,int8-1536,fp32-1536,0.970857,0.970857,0.0,0,0,1.0,0.0,1.0
cfp_fp,binary-1536,fp32-1536,0.969,0.970857,-0.001857,18,31,0.08543313315739454,-1.014,0.3371583396057867
cfp_fp,itq256-binary,fp32-1536,0.967143,0.970857,-0.003714,19,45,0.0015627893448280279,-2.492,0.03429889191780867
cfp_fp,itq128-binary,fp32-1536,0.960857,0.970857,-0.01,24,94,5.560432964003839e-11,-5.243,0.0005328274421958136
cfp_fp,itq128-binary,pca128-binary,0.960857,0.951429,0.009429,143,77,1.0170551426610773e-05,2.112,0.06388202726604515
cfp_fp,itq256-binary,pca256-binary,0.967143,0.955571,0.011571,122,41,1.5450314835445004e-10,3.339,0.008675659969898724
cfp_fp,arcface,magface,0.973714,0.957714,0.016,127,15,2.7766284323895364e-23,6.375,0.000129067657981079
cfp_fp,arcface,adaface,0.973714,0.967571,0.006143,58,15,4.0931991166650604e-07,2.726,0.023388949259268862
cfp_fp,adaface,magface,0.967571,0.957714,0.009857,98,29,5.966212469680181e-10,3.668,0.005174883963324783
