file,percent,plain_decode_ok,enc_decode_ok
Aaron_Peirsol\Aaron_Peirsol_0001.png,0,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,2,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,4,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,6,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,8,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,10,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,12,1,1
Aaron_Peirsol\Aaron_Peirsol_0001.png,15,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,0,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,2,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,4,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,6,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,8,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,10,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,12,1,1
Aaron_Peirsol\Aaron_Peirsol_0002.png,15,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,0,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,2,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,4,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,6,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,8,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,10,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,12,1,1
Aaron_Peirsol\Aaron_Peirsol_0003.png,15,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,0,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,2,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,4,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,6,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,8,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,10,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,12,1,1
Aaron_Peirsol\Aaron_Peirsol_0004.png,15,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,0,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,2,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,4,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,6,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,8,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,10,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,12,1,1
Aaron_Sorkin\Aaron_Sorkin_0001.png,15,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,0,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,2,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,4,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,6,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,8,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,10,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,12,1,1
Aaron_Sorkin\Aaron_Sorkin_0002.png,15,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,0,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,2,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,4,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,6,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,8,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,10,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,12,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.png,15,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,0,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,2,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,4,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,6,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,8,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,10,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,12,1,1
Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.png,15,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,0,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,2,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,4,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,6,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,8,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,10,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,12,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0001.png,15,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,0,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,2,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,4,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,6,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,8,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,10,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,12,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0002.png,15,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,0,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,2,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,4,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,6,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,8,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,10,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,12,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0003.png,15,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,0,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,2,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,4,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,6,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,8,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,10,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,12,1,1
Abdoulaye_Wade\Abdoulaye_Wade_0004.png,15,1,1
Abdullah\Abdullah_0001.png,0,1,1
Abdullah\Abdullah_0001.png,2,1,1
Abdullah\Abdullah_0001.png,4,1,1
Abdullah\Abdullah_0001.png,6,1,1
Abdullah\Abdullah_0001.png,8,1,1
Abdullah\Abdullah_0001.png,10,1,1
Abdullah\Abdullah_0001.png,12,1,1
Abdullah\Abdullah_0001.png,15,1,1
Abdullah\Abdullah_0002.png,0,1,1
Abdullah\Abdullah_0002.png,2,1,1
Abdullah\Abdullah_0002.png,4,1,1
Abdullah\Abdullah_0002.png,6,1,1
Abdullah\Abdullah_0002.png,8,1,1
Abdullah\Abdullah_0002.png,10,1,1
Abdullah\Abdullah_0002.png,12,1,1
Abdullah\Abdullah_0002.png,15,1,1
Abdullah\Abdullah_0003.png,0,1,1
Abdullah\Abdullah_0003.png,2,1,1
Abdullah\Abdullah_0003.png,4,1,1
Abdullah\Abdullah_0003.png,6,1,1
Abdullah\Abdullah_0003.png,8,1,1
Abdullah\Abdullah_0003.png,10,1,1
Abdullah\Abdullah_0003.png,12,1,1
Abdullah\Abdullah_0003.png,15,1,1
Abdullah\Abdullah_0004.png,0,1,1
Abdullah\Abdullah_0004.png,2,1,1
Abdullah\Abdullah_0004.png,4,1,1
Abdullah\Abdullah_0004.png,6,1,1
Abdullah\Abdullah_0004.png,8,1,1
Abdullah\Abdullah_0004.png,10,1,1
Abdullah\Abdullah_0004.png,12,1,1
Abdullah\Abdullah_0004.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,8,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,10,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,12,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,8,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,10,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,12,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.png,15,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,0,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,2,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,4,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,6,1,1
Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.png,8,1,1
